raw_token,n_products,canonical,action,reason
juniper berry,43,juniper,MERGE,compound substring containment
mandarin leaf,43,mandarin,MERGE,compound substring containment
meringue,43,meringue,KEEP,"REVIEW: word-containment overlap with ['lemon meringue pie'] -- not auto-merged, verify manually"
orange peel,43,orange,MERGE,compound substring containment
walnut,43,walnut,KEEP,"REVIEW: word-containment overlap with ['black walnut', 'walnut milk'] -- not auto-merged, verify manually"
litsea cubeba,42,litsea cubeba,KEEP,
rain notes,42,rain notes,KEEP,
wild rose,42,wild rose,KEEP,"REVIEW: word-containment overlap with ['rose'] -- not auto-merged, verify manually"
aromatic notes,41,,DROP_PLACEHOLDER,"category word, not a specific note (CLAUDE.md section 1)"
biscuit,41,biscuit,KEEP,
bourbon vetiver,41,bourbon vetiver,KEEP,"REVIEW: word-containment overlap with ['vetiver'] -- not auto-merged, verify manually"
orcanox™,41,orcanox™,KEEP,
poppy,41,poppy,KEEP,"REVIEW: word-containment overlap with ['blue poppy', 'himalayan poppy', 'red poppy', 'yellow poppy'] -- not auto-merged, verify manually"
vanilla pod,41,vanilla,MERGE,compound substring containment
ambrofix™,40,ambrofix™,KEEP,
copahu balm,40,copahu balm,KEEP,
datura,40,datura,KEEP,"REVIEW: word-containment overlap with ['white datura'] -- not auto-merged, verify manually"
mandarin blossom,40,mandarin,MERGE,compound substring containment
nard himalayan,40,nard himalayan,KEEP,"REVIEW: word-containment overlap with ['nard'] -- not auto-merged, verify manually"
syringa,40,syringa,KEEP,
thailand oud,40,thailand oud,KEEP,"REVIEW: word-containment overlap with ['oud'] -- not auto-merged, verify manually"
cedar needles,39,cedar needles,KEEP,"REVIEW: word-containment overlap with ['cedar'] -- not auto-merged, verify manually"
copaiba balm,39,copaiba balm,KEEP,
cupcake,39,cupcake,KEEP,
mirabelle,39,mirabelle,KEEP,"REVIEW: word-containment overlap with ['mirabelle plum'] -- not auto-merged, verify manually"
palm leaf,39,palm leaf,KEEP,
priprioca,39,priprioca,KEEP,
red pepper,39,red pepper,KEEP,"REVIEW: word-containment overlap with ['pepper'] -- not auto-merged, verify manually"
sunflower,39,sunflower,KEEP,
black locust,38,black locust,KEEP,"REVIEW: word-containment overlap with ['black locust honey'] -- not auto-merged, verify manually"
black musk,38,black musk,KEEP,"REVIEW: word-containment overlap with ['musk'] -- not auto-merged, verify manually"
cashmirwood,38,cashmirwood,KEEP,"REVIEW: fuzzy-similar to 'cashmere wood' (sim=0.83) -- not auto-merged, verify manually"
cistus incanus,38,cistus incanus,KEEP,
maple,38,maple,KEEP,"REVIEW: word-containment overlap with ['maple syrup', 'red maple'] -- not auto-merged, verify manually"
popcorn,38,popcorn,KEEP,
red cedar,38,red cedar,KEEP,"REVIEW: word-containment overlap with ['cedar'] -- not auto-merged, verify manually"
black orchid,37,black orchid,KEEP,"REVIEW: word-containment overlap with ['orchid'] -- not auto-merged, verify manually"
brandy,37,brandy,KEEP,"REVIEW: fuzzy-similar to 'bran' (sim=0.80) -- not auto-merged, verify manually"
calamus,37,calamus,KEEP,
camellia,37,camellia,KEEP,
gourmand accord,37,gourmand accord,KEEP,
green bell pepper,37,green bell pepper,KEEP,"REVIEW: word-containment overlap with ['pepper'] -- not auto-merged, verify manually"
hyrax,37,hyrax,KEEP,
raspberry leaf,37,raspberry,MERGE,compound substring containment
timur,37,timur,KEEP,
white tobacco,37,white tobacco,KEEP,"REVIEW: word-containment overlap with ['tobacco'] -- not auto-merged, verify manually"
ambrettolide,36,ambrettolide,KEEP,"REVIEW: fuzzy-similar to 'ambrette' (sim=0.80) -- not auto-merged, verify manually"
birch leaf,36,birch,MERGE,compound substring containment
chinese osmanthus,36,chinese osmanthus,KEEP,"REVIEW: word-containment overlap with ['osmanthus'] -- not auto-merged, verify manually"
green grass,36,green grass,KEEP,"REVIEW: fuzzy-similar to 'green grape' (sim=0.82); REVIEW: word-containment overlap with ['grass'] -- not auto-merged, verify manually"
lemon peel,36,lemon,MERGE,compound substring containment
mysore sandalwood,36,mysore sandalwood,KEEP,"REVIEW: word-containment overlap with ['sandalwood'] -- not auto-merged, verify manually"
palmarosa,36,palmarosa,KEEP,
pink freesia,36,pink freesia,KEEP,"REVIEW: word-containment overlap with ['freesia'] -- not auto-merged, verify manually"
black currant blossom,35,black currant,MERGE,compound substring containment
fig nectar,35,fig nectar,KEEP,"REVIEW: word-containment overlap with ['fig', 'nectar'] -- not auto-merged, verify manually"
macarons,35,macarons,KEEP,
cactus,34,cactus,KEEP,"REVIEW: word-containment overlap with ['cactus blossom', 'cactus flower', 'cactus juice'] -- not auto-merged, verify manually"
cake,34,cake,KEEP,
cappuccino,34,cappuccino,KEEP,
clearwood,34,clearwood,KEEP,"REVIEW: fuzzy-similar to 'cedarwood' (sim=0.89) -- not auto-merged, verify manually"
currant buds,34,currant buds,KEEP,
marjoram,34,marjoram,KEEP,
water hyacinth,34,water hyacinth,KEEP,"REVIEW: fuzzy-similar to 'white hyacinth' (sim=0.86); REVIEW: word-containment overlap with ['hyacinth', 'water'] -- not auto-merged, verify manually"
allspice,33,allspice,KEEP,
moroccan jasmine,33,moroccan jasmine,KEEP,"REVIEW: word-containment overlap with ['jasmine'] -- not auto-merged, verify manually"
vodka,33,vodka,KEEP,"REVIEW: word-containment overlap with ['musk vodka'] -- not auto-merged, verify manually"
white iris,33,white iris,KEEP,"REVIEW: fuzzy-similar to 'white rose' (sim=0.80); REVIEW: word-containment overlap with ['iris'] -- not auto-merged, verify manually"
bamboo leaf,32,bamboo,MERGE,compound substring containment
cactus flower,32,cactus flower,KEEP,"REVIEW: word-containment overlap with ['cactus'] -- not auto-merged, verify manually"
hinoki,32,hinoki wood,MERGE,compound substring containment
mahonial,32,mahonial,KEEP,"REVIEW: word-containment overlap with ['mahonia'] -- not auto-merged, verify manually"
red thyme,32,red thyme,KEEP,"REVIEW: word-containment overlap with ['thyme'] -- not auto-merged, verify manually"
amber xtreme,31,amber xtreme,KEEP,"REVIEW: word-containment overlap with ['amber'] -- not auto-merged, verify manually"
buchu or agathosma,31,buchu or agathosma,KEEP,
dried plum,31,dried plum,KEEP,"REVIEW: word-containment overlap with ['plum'] -- not auto-merged, verify manually"
lemon leaf,31,lemon,MERGE,compound substring containment
red chilli pepper,31,red chilli pepper,KEEP,"REVIEW: word-containment overlap with ['pepper'] -- not auto-merged, verify manually"
roasted coffee beans,31,roasted coffee beans,KEEP,"REVIEW: word-containment overlap with ['coffee'] -- not auto-merged, verify manually"
rock rose,31,rock rose,KEEP,"REVIEW: word-containment overlap with ['rose'] -- not auto-merged, verify manually"
sequoia,31,sequoia,KEEP,
tahitian vetiver,31,tahitian vetiver,KEEP,"REVIEW: word-containment overlap with ['vetiver'] -- not auto-merged, verify manually"
tamarind,31,tamarind,KEEP,
african geranium,30,african geranium,KEEP,"REVIEW: fuzzy-similar to 'algerian geranium' (sim=0.85); REVIEW: word-containment overlap with ['geranium'] -- not auto-merged, verify manually"
ambrox super,30,ambrox super,KEEP,
ash,30,ash,KEEP,
black violet,30,black violet,KEEP,"REVIEW: word-containment overlap with ['violet'] -- not auto-merged, verify manually"
camelia,30,camellia,MERGE,fuzzy similarity 0.93
daisy,30,daisy,KEEP,
gingerbread,30,gingerbread,KEEP,"REVIEW: word-containment overlap with ['ginger'] -- not auto-merged, verify manually"
gunpowder,30,gunpowder,KEEP,
madagascar vetiver,30,madagascar vetiver,KEEP,"REVIEW: fuzzy-similar to 'madagascar pepper' (sim=0.80); REVIEW: word-containment overlap with ['vetiver'] -- not auto-merged, verify manually"
madagascar ylang ylang,30,madagascar ylang ylang,KEEP,
malt,30,malt,KEEP,"REVIEW: fuzzy-similar to 'maltol' (sim=0.80) -- not auto-merged, verify manually"
marzipan,30,marzipan,KEEP,
night blooming cereus,30,night blooming cereus,KEEP,
pink rose,30,pink rose,KEEP,"REVIEW: word-containment overlap with ['rose'] -- not auto-merged, verify manually"
tea leaf,30,tea leaf,KEEP,"REVIEW: word-containment overlap with ['tea'] -- not auto-merged, verify manually"
bellflower,29,,DROP_RARE,"canonical group 'bellflower' has 29 in-population products (< 30, after merging)"
coca cola,29,,DROP_RARE,"canonical group 'coca cola' has 29 in-population products (< 30, after merging)"
creme brulee,29,,DROP_RARE,"canonical group 'creme brulee' has 29 in-population products (< 30, after merging)"
ebony tree,29,ebony wood,MERGE,transitive merge via shared group
jasmine tea,29,,DROP_RARE,"canonical group 'jasmine tea' has 29 in-population products (< 30, after merging)"
petitgrain paraguay,29,petitgrain,MERGE,compound substring containment
russian leather,29,,DROP_RARE,"canonical group 'russian leather' has 29 in-population products (< 30, after merging)"
spruce,29,,DROP_RARE,"canonical group 'spruce' has 29 in-population products (< 30, after merging)"
amaryllis,28,,DROP_RARE,"canonical group 'amaryllis' has 28 in-population products (< 30, after merging)"
apricot blossom,28,,DROP_RARE,"canonical group 'apricot blossom' has 28 in-population products (< 30, after merging)"
gooseberry,28,,DROP_RARE,"canonical group 'gooseberry' has 28 in-population products (< 30, after merging)"
lavender extract,28,lavender,MERGE,compound substring containment
mojito,28,,DROP_RARE,"canonical group 'mojito' has 28 in-population products (< 30, after merging)"
mushroom,28,,DROP_RARE,"canonical group 'mushroom' has 28 in-population products (< 30, after merging)"
pink lotus,28,,DROP_RARE,"canonical group 'pink lotus' has 28 in-population products (< 30, after merging)"
algae,27,,DROP_RARE,"canonical group 'algae' has 27 in-population products (< 30, after merging)"
ambrarome,27,,DROP_RARE,"canonical group 'ambrarome' has 27 in-population products (< 30, after merging)"
aromatic spices,27,,DROP_RARE,"canonical group 'aromatic spices' has 27 in-population products (< 30, after merging)"
black elder,27,,DROP_RARE,"canonical group 'black elder' has 27 in-population products (< 30, after merging)"
blonde woods,27,,DROP_RARE,"canonical group 'blonde woods' has 27 in-population products (< 30, after merging)"
cinnamon leaf,27,cinnamon,MERGE,compound substring containment
exotic floral notes,27,,DROP_RARE,"canonical group 'exotic floral notes' has 27 in-population products (< 30, after merging)"
fenugreek,27,,DROP_RARE,"canonical group 'fenugreek' has 27 in-population products (< 30, after merging)"
himalayan cedar,27,,DROP_RARE,"canonical group 'himalayan cedar' has 27 in-population products (< 30, after merging)"
linen,27,,DROP_RARE,"canonical group 'linen' has 27 in-population products (< 30, after merging)"
orange oil,27,orange,MERGE,compound substring containment
white oud,27,,DROP_RARE,"canonical group 'white oud' has 27 in-population products (< 30, after merging)"
black and pink pepper,26,,DROP_RARE,"canonical group 'black and pink pepper' has 26 in-population products (< 30, after merging)"
bran,26,,DROP_RARE,"canonical group 'bran' has 26 in-population products (< 30, after merging)"
cinammon,26,,DROP_RARE,"canonical group 'cinammon' has 26 in-population products (< 30, after merging)"
gentiana,26,,DROP_RARE,"canonical group 'gentiana' has 26 in-population products (< 30, after merging)"
rose geranium,26,,DROP_RARE,"canonical group 'rose geranium' has 26 in-population products (< 30, after merging)"
white suede,26,,DROP_RARE,"canonical group 'white suede' has 26 in-population products (< 30, after merging)"
acai berry,25,,DROP_RARE,"canonical group 'acai berry' has 25 in-population products (< 30, after merging)"
aloe vera,25,,DROP_RARE,"canonical group 'aloe vera' has 25 in-population products (< 30, after merging)"
ambrocenide,25,,DROP_RARE,"canonical group 'ambrocenide' has 25 in-population products (< 30, after merging)"
black leather,25,,DROP_RARE,"canonical group 'black leather' has 25 in-population products (< 30, after merging)"
blue lotus,25,,DROP_RARE,"canonical group 'blue lotus' has 25 in-population products (< 30, after merging)"
boronia,25,,DROP_RARE,"canonical group 'boronia' has 25 in-population products (< 30, after merging)"
breu branco,25,,DROP_RARE,"canonical group 'breu branco' has 25 in-population products (< 30, after merging)"
bubble gum,25,,DROP_RARE,"canonical group 'bubble gum' has 25 in-population products (< 30, after merging)"
celery seeds,25,celery seeds,KEEP,"REVIEW: word-containment overlap with ['celery'] -- not auto-merged, verify manually"
dahlia,25,,DROP_RARE,"canonical group 'dahlia' has 25 in-population products (< 30, after merging)"
maltol,25,,DROP_RARE,"canonical group 'maltol' has 25 in-population products (< 30, after merging)"
nashi pear,25,,DROP_RARE,"canonical group 'nashi pear' has 25 in-population products (< 30, after merging)"
pitosporum,25,,DROP_RARE,"canonical group 'pitosporum' has 26 in-population products (< 30, after merging)"
red peony,25,,DROP_RARE,"canonical group 'red peony' has 25 in-population products (< 30, after merging)"
sweet almond,25,,DROP_RARE,"canonical group 'sweet almond' has 25 in-population products (< 30, after merging)"
black fig,24,,DROP_RARE,"canonical group 'black fig' has 24 in-population products (< 30, after merging)"
earl grey tea,24,,DROP_RARE,"canonical group 'earl grey tea' has 24 in-population products (< 30, after merging)"
italian iris,24,,DROP_RARE,"canonical group 'italian iris' has 24 in-population products (< 30, after merging)"
japanese cherry blossom,24,,DROP_RARE,"canonical group 'japanese cherry blossom' has 24 in-population products (< 30, after merging)"
liatris,24,,DROP_RARE,"canonical group 'liatris' has 24 in-population products (< 30, after merging)"
moroccan cedar,24,,DROP_RARE,"canonical group 'moroccan cedar' has 24 in-population products (< 30, after merging)"
tyger lily,24,,DROP_RARE,"canonical group 'tyger lily' has 24 in-population products (< 30, after merging)"
ambertonic,23,amber,MERGE,compound substring containment
celery,23,celery seeds,MERGE,compound substring containment
cetalox,23,,DROP_RARE,"canonical group 'cetalox' has 23 in-population products (< 30, after merging)"
indian patchouli,23,,DROP_RARE,"canonical group 'indian patchouli' has 23 in-population products (< 30, after merging)"
madagascar pepper,23,,DROP_RARE,"canonical group 'madagascar pepper' has 23 in-population products (< 30, after merging)"
mimosa absolute,23,,DROP_RARE,"canonical group 'mimosa absolute' has 23 in-population products (< 30, after merging)"
oolong tea,23,,DROP_RARE,"canonical group 'oolong tea' has 23 in-population products (< 30, after merging)"
petalia,23,,DROP_RARE,"canonical group 'petalia' has 23 in-population products (< 30, after merging)"
singapore patchouli,23,,DROP_RARE,"canonical group 'singapore patchouli' has 23 in-population products (< 30, after merging)"
spearmint,23,,DROP_RARE,"canonical group 'spearmint' has 23 in-population products (< 30, after merging)"
accord eudora®,22,,DROP_RARE,"canonical group 'accord eudora®' has 22 in-population products (< 30, after merging)"
candied fruits,22,,DROP_RARE,"canonical group 'candied fruits' has 22 in-population products (< 30, after merging)"
dark woodsy notes,22,,DROP_RARE,"canonical group 'dark woodsy notes' has 22 in-population products (< 30, after merging)"
dreamwood,22,,DROP_RARE,"canonical group 'dreamwood' has 22 in-population products (< 30, after merging)"
lactones,22,,DROP_RARE,"canonical group 'lactones' has 22 in-population products (< 30, after merging)"
lemon tree,22,lemon,MERGE,compound substring containment
mace,22,,DROP_RARE,"canonical group 'mace' has 22 in-population products (< 30, after merging)"
mexican vanilla,22,,DROP_RARE,"canonical group 'mexican vanilla' has 22 in-population products (< 30, after merging)"
pineapple leaf,22,pineapple,MERGE,compound substring containment
pumpkin,22,,DROP_RARE,"canonical group 'pumpkin' has 22 in-population products (< 30, after merging)"
red poppy,22,,DROP_RARE,"canonical group 'red poppy' has 22 in-population products (< 30, after merging)"
turkey red rose,22,,DROP_RARE,"canonical group 'turkey red rose' has 22 in-population products (< 30, after merging)"
vanilla sugar,22,,DROP_RARE,"canonical group 'vanilla sugar' has 22 in-population products (< 30, after merging)"
velvet,22,,DROP_RARE,"canonical group 'velvet' has 23 in-population products (< 30, after merging)"
vinyl,22,,DROP_RARE,"canonical group 'vinyl' has 22 in-population products (< 30, after merging)"
barley,21,,DROP_RARE,"canonical group 'barley' has 21 in-population products (< 30, after merging)"
cabreuva,21,,DROP_RARE,"canonical group 'cabreuva' has 21 in-population products (< 30, after merging)"
candied almond,21,,DROP_RARE,"canonical group 'candied almond' has 21 in-population products (< 30, after merging)"
civetta,21,civet,MERGE,compound substring containment
maple syrup,21,,DROP_RARE,"canonical group 'maple syrup' has 21 in-population products (< 30, after merging)"
mignonette,21,,DROP_RARE,"canonical group 'mignonette' has 21 in-population products (< 30, after merging)"
monoi oil,21,,DROP_RARE,"canonical group 'monoi oil' has 21 in-population products (< 30, after merging)"
white orchid,21,,DROP_RARE,"canonical group 'white orchid' has 21 in-population products (< 30, after merging)"
white wine,21,,DROP_RARE,"canonical group 'white wine' has 21 in-population products (< 30, after merging)"
wild orchid,21,,DROP_RARE,"canonical group 'wild orchid' has 21 in-population products (< 30, after merging)"
amyl salicylate,20,,DROP_RARE,"canonical group 'amyl salicylate' has 20 in-population products (< 30, after merging)"
banana leaf,20,banana,MERGE,compound substring containment
blood grapefruit,20,,DROP_RARE,"canonical group 'blood grapefruit' has 20 in-population products (< 30, after merging)"
bourbon whiskey,20,,DROP_RARE,"canonical group 'bourbon whiskey' has 20 in-population products (< 30, after merging)"
casablanca lily,20,,DROP_RARE,"canonical group 'casablanca lily' has 20 in-population products (< 30, after merging)"
georgywood,20,,DROP_RARE,"canonical group 'georgywood' has 20 in-population products (< 30, after merging)"
indonesian nutmeg,20,,DROP_RARE,"canonical group 'indonesian nutmeg' has 20 in-population products (< 30, after merging)"
neroli essence,20,,DROP_RARE,"canonical group 'neroli essence' has 20 in-population products (< 30, after merging)"
olive,20,olive tree,MERGE,compound substring containment
tropical fruit,20,tropical fruits,MERGE,fuzzy similarity 0.97
bark,19,,DROP_RARE,"canonical group 'bark' has 19 in-population products (< 30, after merging)"
blackcurrant syrup,19,,DROP_RARE,"canonical group 'blackcurrant syrup' has 19 in-population products (< 30, after merging)"
cascalone,19,,DROP_RARE,"canonical group 'cascalone' has 19 in-population products (< 30, after merging)"
caviar,19,,DROP_RARE,"canonical group 'caviar' has 19 in-population products (< 30, after merging)"
cookie,19,,DROP_RARE,"canonical group 'cookie' has 24 in-population products (< 30, after merging)"
marshamallow,19,marshmallow,MERGE,fuzzy similarity 0.96
pataqueira,19,,DROP_RARE,"canonical group 'pataqueira' has 19 in-population products (< 30, after merging)"
piña colada,19,,DROP_RARE,"canonical group 'piña colada' has 19 in-population products (< 30, after merging)"
raspberry bloom,19,raspberry,MERGE,compound substring containment
silk tree blossom,19,,DROP_RARE,"canonical group 'silk tree blossom' has 19 in-population products (< 30, after merging)"
syrup,19,,DROP_RARE,"canonical group 'syrup' has 19 in-population products (< 30, after merging)"
vanillin,19,,DROP_RARE,"canonical group 'vanillin' has 19 in-population products (< 30, after merging)"
white ginger lily,19,,DROP_RARE,"canonical group 'white ginger lily' has 19 in-population products (< 30, after merging)"
berry fruits,18,,DROP_RARE,"canonical group 'berry fruits' has 18 in-population products (< 30, after merging)"
black cardamom,18,,DROP_RARE,"canonical group 'black cardamom' has 18 in-population products (< 30, after merging)"
co2 extracts,18,,DROP_RARE,"canonical group 'co2 extracts' has 18 in-population products (< 30, after merging)"
dulce de leche,18,,DROP_RARE,"canonical group 'dulce de leche' has 18 in-population products (< 30, after merging)"
heather,18,,DROP_RARE,"canonical group 'heather' has 18 in-population products (< 30, after merging)"
hortensia,18,,DROP_RARE,"canonical group 'hortensia' has 18 in-population products (< 30, after merging)"
milk mousse,18,,DROP_RARE,"canonical group 'milk mousse' has 18 in-population products (< 30, after merging)"
nettle,18,,DROP_RARE,"canonical group 'nettle' has 18 in-population products (< 30, after merging)"
orange leaf,18,orange,MERGE,compound substring containment
paradisone,18,,DROP_RARE,"canonical group 'paradisone' has 18 in-population products (< 30, after merging)"
peat,18,,DROP_RARE,"canonical group 'peat' has 18 in-population products (< 30, after merging)"
tahitian tiare flower,18,,DROP_RARE,"canonical group 'tahitian tiare flower' has 18 in-population products (< 30, after merging)"
white blossom,18,,DROP_RARE,"canonical group 'white blossom' has 18 in-population products (< 30, after merging)"
white lotus,18,,DROP_RARE,"canonical group 'white lotus' has 18 in-population products (< 30, after merging)"
agave,17,,DROP_RARE,"canonical group 'agave' has 17 in-population products (< 30, after merging)"
arum lily,17,,DROP_RARE,"canonical group 'arum lily' has 17 in-population products (< 30, after merging)"
bellini,17,,DROP_RARE,"canonical group 'bellini' has 17 in-population products (< 30, after merging)"
bread,17,,DROP_RARE,"canonical group 'bread' has 18 in-population products (< 30, after merging)"
forest fruits,17,,DROP_RARE,"canonical group 'forest fruits' has 17 in-population products (< 30, after merging)"
french orange flower,17,,DROP_RARE,"canonical group 'french orange flower' has 17 in-population products (< 30, after merging)"
gaiac wood,17,guaiac wood,MERGE,fuzzy similarity 0.95
hyssop,17,,DROP_RARE,"canonical group 'hyssop' has 17 in-population products (< 30, after merging)"
kashmir wood,17,,DROP_RARE,"canonical group 'kashmir wood' has 17 in-population products (< 30, after merging)"
mangosteen,17,mango,MERGE,compound substring containment
nigerian ginger,17,,DROP_RARE,"canonical group 'nigerian ginger' has 17 in-population products (< 30, after merging)"
nougat,17,,DROP_RARE,"canonical group 'nougat' has 17 in-population products (< 30, after merging)"
palm tree,17,,DROP_RARE,"canonical group 'palm tree' has 17 in-population products (< 30, after merging)"
poplar buds,17,,DROP_RARE,"canonical group 'poplar buds' has 23 in-population products (< 30, after merging)"
siberian pine,17,,DROP_RARE,"canonical group 'siberian pine' has 17 in-population products (< 30, after merging)"
tomato,17,tomato leaf,MERGE,compound substring containment
turkish rose oil,17,turkish rose,MERGE,compound substring containment
water mint,17,,DROP_RARE,"canonical group 'water mint' has 17 in-population products (< 30, after merging)"
white grapefruit,17,,DROP_RARE,"canonical group 'white grapefruit' has 18 in-population products (< 30, after merging)"
white leather,17,,DROP_RARE,"canonical group 'white leather' has 17 in-population products (< 30, after merging)"
white violet,17,,DROP_RARE,"canonical group 'white violet' has 17 in-population products (< 30, after merging)"
yellow freesia,17,,DROP_RARE,"canonical group 'yellow freesia' has 17 in-population products (< 30, after merging)"
almond tree,16,almond,MERGE,compound substring containment
blood,16,,DROP_RARE,"canonical group 'blood' has 16 in-population products (< 30, after merging)"
chrysanthemum,16,,DROP_RARE,"canonical group 'chrysanthemum' has 16 in-population products (< 30, after merging)"
condensed milk,16,,DROP_RARE,"canonical group 'condensed milk' has 16 in-population products (< 30, after merging)"
copal,16,,DROP_RARE,"canonical group 'copal' has 16 in-population products (< 30, after merging)"
coriander leaf,16,coriander,MERGE,compound substring containment
dewberry,16,,DROP_RARE,"canonical group 'dewberry' has 16 in-population products (< 30, after merging)"
exotic spices,16,,DROP_RARE,"canonical group 'exotic spices' has 16 in-population products (< 30, after merging)"
green almond,16,,DROP_RARE,"canonical group 'green almond' has 16 in-population products (< 30, after merging)"
holly,16,,DROP_RARE,"canonical group 'holly' has 18 in-population products (< 30, after merging)"
light amber,16,,DROP_RARE,"canonical group 'light amber' has 16 in-population products (< 30, after merging)"
lipstick,16,,DROP_RARE,"canonical group 'lipstick' has 16 in-population products (< 30, after merging)"
madagascar cloves,16,,DROP_RARE,"canonical group 'madagascar cloves' has 16 in-population products (< 30, after merging)"
milk chocolate,16,,DROP_RARE,"canonical group 'milk chocolate' has 16 in-population products (< 30, after merging)"
mulberry,16,,DROP_RARE,"canonical group 'mulberry' has 16 in-population products (< 30, after merging)"
nagarmotha,16,,DROP_RARE,"canonical group 'nagarmotha' has 16 in-population products (< 30, after merging)"
pear leaf,16,,DROP_RARE,"canonical group 'pear leaf' has 16 in-population products (< 30, after merging)"
pelargonium,16,,DROP_RARE,"canonical group 'pelargonium' has 18 in-population products (< 30, after merging)"
pine tree needles,16,pine tree,MERGE,compound substring containment
raisin,16,,DROP_RARE,"canonical group 'raisin' has 16 in-population products (< 30, after merging)"
snow,16,,DROP_RARE,"canonical group 'snow' has 16 in-population products (< 30, after merging)"
soap,16,,DROP_RARE,"canonical group 'soap' has 16 in-population products (< 30, after merging)"
tequila,16,,DROP_RARE,"canonical group 'tequila' has 16 in-population products (< 30, after merging)"
water fruit,16,,DROP_RARE,"canonical group 'water fruit' has 16 in-population products (< 30, after merging)"
bourbon pepper,15,,DROP_RARE,"canonical group 'bourbon pepper' has 15 in-population products (< 30, after merging)"
chinese black tea,15,,DROP_RARE,"canonical group 'chinese black tea' has 15 in-population products (< 30, after merging)"
chinese cedar,15,,DROP_RARE,"canonical group 'chinese cedar' has 15 in-population products (< 30, after merging)"
chinese jasmine,15,,DROP_RARE,"canonical group 'chinese jasmine' has 15 in-population products (< 30, after merging)"
coconut blossom,15,,DROP_RARE,"canonical group 'coconut blossom' has 15 in-population products (< 30, after merging)"
fire,15,,DROP_RARE,"canonical group 'fire' has 15 in-population products (< 30, after merging)"
flower petals,15,,DROP_RARE,"canonical group 'flower petals' has 15 in-population products (< 30, after merging)"
grenadine,15,,DROP_RARE,"canonical group 'grenadine' has 15 in-population products (< 30, after merging)"
italian jasmine,15,,DROP_RARE,"canonical group 'italian jasmine' has 15 in-population products (< 30, after merging)"
leatherwood,15,leather,MERGE,compound substring containment
loukhoum,15,,DROP_RARE,"canonical group 'loukhoum' has 15 in-population products (< 30, after merging)"
magnolia petals,15,magnolia,MERGE,compound substring containment
nutty notes,15,,DROP_PLACEHOLDER,"category word, not a specific note (CLAUDE.md section 1)"
oak tree,15,,DROP_RARE,"canonical group 'oak tree' has 15 in-population products (< 30, after merging)"
oily notes,15,,DROP_PLACEHOLDER,"category word, not a specific note (CLAUDE.md section 1)"
persimmon,15,,DROP_RARE,"canonical group 'persimmon' has 15 in-population products (< 30, after merging)"
pine tar,15,,DROP_RARE,"canonical group 'pine tar' has 15 in-population products (< 30, after merging)"
pink jasmine,15,,DROP_RARE,"canonical group 'pink jasmine' has 15 in-population products (< 30, after merging)"
plumeria,15,,DROP_RARE,"canonical group 'plumeria' has 15 in-population products (< 30, after merging)"
rhododendron,15,,DROP_RARE,"canonical group 'rhododendron' has 15 in-population products (< 30, after merging)"
seagrass,15,,DROP_RARE,"canonical group 'seagrass' has 15 in-population products (< 30, after merging)"
sinfonide,15,,DROP_RARE,"canonical group 'sinfonide' has 15 in-population products (< 30, after merging)"
stephanotis,15,,DROP_RARE,"canonical group 'stephanotis' has 15 in-population products (< 30, after merging)"
strawberry leaf,15,strawberry,MERGE,compound substring containment
vetiver root,15,vetiver,MERGE,compound substring containment
violet root,15,violet,MERGE,compound substring containment
west indian bay,15,,DROP_RARE,"canonical group 'west indian bay' has 15 in-population products (< 30, after merging)"
white currant,15,,DROP_RARE,"canonical group 'white currant' has 15 in-population products (< 30, after merging)"
apple tree,14,apple,MERGE,compound substring containment
asphalt,14,,DROP_RARE,"canonical group 'asphalt' has 14 in-population products (< 30, after merging)"
bigarade,14,,DROP_RARE,"canonical group 'bigarade' has 14 in-population products (< 30, after merging)"
brazilian redwood,14,,DROP_RARE,"canonical group 'brazilian redwood' has 14 in-population products (< 30, after merging)"
cedar essence,14,,DROP_RARE,"canonical group 'cedar essence' has 14 in-population products (< 30, after merging)"
clove leaf,14,cloves,MERGE,transitive merge via shared group
gasoline,14,,DROP_RARE,"canonical group 'gasoline' has 14 in-population products (< 30, after merging)"
gray musk,14,,DROP_RARE,"canonical group 'gray musk' has 14 in-population products (< 30, after merging)"
hibiscus seed,14,hibiscus,MERGE,compound substring containment
indian saffron,14,,DROP_RARE,"canonical group 'indian saffron' has 14 in-population products (< 30, after merging)"
iris butter,14,,DROP_RARE,"canonical group 'iris butter' has 14 in-population products (< 30, after merging)"
italian orange,14,,DROP_RARE,"canonical group 'italian orange' has 14 in-population products (< 30, after merging)"
lady of the night flower,14,,DROP_RARE,"canonical group 'lady of the night flower' has 14 in-population products (< 30, after merging)"
lorenox,14,,DROP_RARE,"canonical group 'lorenox' has 14 in-population products (< 30, after merging)"
macadamia,14,,DROP_RARE,"canonical group 'macadamia' has 15 in-population products (< 30, after merging)"
massoia,14,,DROP_RARE,"canonical group 'massoia' has 21 in-population products (< 30, after merging)"
mirabelle plum,14,,DROP_RARE,"canonical group 'mirabelle plum' has 17 in-population products (< 30, after merging)"
olive blossom,14,,DROP_RARE,"canonical group 'olive blossom' has 14 in-population products (< 30, after merging)"
opium,14,,DROP_RARE,"canonical group 'opium' has 14 in-population products (< 30, after merging)"
paper,14,,DROP_RARE,"canonical group 'paper' has 14 in-population products (< 30, after merging)"
